english_key,ro_sentence
# Core greetings
Hello, how are you?,Bună, ce mai faci?
See you later,Ne vedem mai târziu.
One coffee please,O cafea, te rog.
Thank you very much,Mulțumesc foarte mult.

# Numbers & colors
One ticket,Un bilet.
Two coffees,Două cafele.
Three books,Trei cărți.
The red car,Mașina roșie.
The blue sky,Cerul albastru.
The green tree,Copacul verde.

# Family & friends
My mother,Mama mea.
My father works,Tatăl meu lucrează.
A good friend,Un prieten bun.
I love this language,Iubesc această limbă.
I love Spanish,Iubesc spaniola.

# Food & drinks
I want a coffee,Vreau o cafea.
I would like tea,Aș dori un ceai.
I drink water,Beau apă.
The bread is good,Pâinea este bună.
The food is good,Mâncarea este bună.

# Routine, time, weather, house
Today it rains,Astăzi plouă.
See you tomorrow,Ne vedem mâine.
What time is it?,Cât este ceasul?
I work a lot,Lucrez mult.
My house is big,Casa mea este mare.

# Travel, hotel, doctor, money
The train arrives,Trenul sosește.
A room in the hotel,O cameră la hotel.
I need a doctor,Am nevoie de un doctor.
I need money,Am nevoie de bani.

# Communication, help, problems, books
No problem,Nicio problemă.
I need help,Am nevoie de ajutor.
I read a book,Citesc o carte.


