english_key,ro_prompt
# Greetings
hello,Care cuvânt înseamnă „salut”?
goodbye,Care cuvânt înseamnă „la revedere”?
please,Care cuvânt înseamnă „te rog”?
thank you,Care cuvânt înseamnă „mulțumesc”?

# Numbers
one,Care cuvânt înseamnă „unu”?
two,Care cuvânt înseamnă „doi”?
three,Care cuvânt înseamnă „trei”?

# Colors
red,Care cuvânt înseamnă „roșu”?
blue,Care cuvânt înseamnă „albastru”?
green,Care cuvânt înseamnă „verde”?

# Family & friends
mother,Care cuvânt înseamnă „mamă”?
father,Care cuvânt înseamnă „tată”?
friend,Care cuvânt înseamnă „prieten”?
love,Care cuvânt înseamnă „iubire”?

# Food & drinks
coffee,Care cuvânt înseamnă „cafea”?
tea,Care cuvânt înseamnă „ceai”?
water,Care cuvânt înseamnă „apă”?
bread,Care cuvânt înseamnă „pâine”?
food,Care cuvânt înseamnă „mâncare”?

# Routine, time, house
today,Care cuvânt înseamnă „astăzi”?
tomorrow,Care cuvânt înseamnă „mâine”?
time,Care cuvânt înseamnă „ora”?
work,Care cuvânt înseamnă „muncă”?
house,Care cuvânt înseamnă „casă”?

# Travel, hotel, doctor, money
train,Care cuvânt înseamnă „tren”?
hotel,Care cuvânt înseamnă „hotel”?
doctor,Care cuvânt înseamnă „doctor”?
money,Care cuvânt înseamnă „bani”?

# Communication, help, book
problem,Care cuvânt înseamnă „problemă”?
help,Care cuvânt înseamnă „ajutor”?
book,Care cuvânt înseamnă „carte”?

